onset	duration	trial_type	value	sample
4.18	0.7	NonTarget	1	418
4.39	0.7	NonTarget	1	439
4.59	0.7	NonTarget	1	459
4.79	0.7	Target	2	479
4.99	0.7	NonTarget	1	499
5.19	0.7	NonTarget	1	519
5.39	0.7	Target	2	539
5.59	0.7	NonTarget	1	559
5.79	0.7	NonTarget	1	579
5.99	0.7	NonTarget	1	599
6.19	0.7	NonTarget	1	619
6.39	0.7	NonTarget	1	639
6.59	0.7	Target	2	659
6.79	0.7	NonTarget	1	679
6.99	0.7	NonTarget	1	699
7.19	0.7	NonTarget	1	719
7.39	0.7	NonTarget	1	739
7.59	0.7	NonTarget	1	759
7.79	0.7	NonTarget	1	779
7.99	0.7	Target	2	799
8.19	0.7	NonTarget	1	819
8.39	0.7	NonTarget	1	839
8.59	0.7	NonTarget	1	859
8.79	0.7	NonTarget	1	879
8.99	0.7	Target	2	899
9.19	0.7	NonTarget	1	919
9.39	0.7	NonTarget	1	939
9.59	0.7	NonTarget	1	959
9.79	0.7	NonTarget	1	979
9.99	0.7	NonTarget	1	999
10.19	0.7	NonTarget	1	1019
10.39	0.7	NonTarget	1	1039
10.59	0.7	NonTarget	1	1059
10.79	0.7	NonTarget	1	1079
10.99	0.7	NonTarget	1	1099
11.19	0.7	Target	2	1119
11.39	0.7	NonTarget	1	1139
11.59	0.7	NonTarget	1	1159
11.79	0.7	NonTarget	1	1179
11.99	0.7	NonTarget	1	1199
12.19	0.7	NonTarget	1	1219
12.39	0.7	Target	2	1239
12.59	0.7	NonTarget	1	1259
12.79	0.7	NonTarget	1	1279
12.99	0.7	NonTarget	1	1299
13.19	0.7	NonTarget	1	1319
13.39	0.7	NonTarget	1	1339
13.59	0.7	Target	2	1359
13.79	0.7	NonTarget	1	1379
13.99	0.7	NonTarget	1	1399
14.19	0.7	NonTarget	1	1419
14.39	0.7	NonTarget	1	1439
14.59	0.7	Target	2	1459
14.79	0.7	NonTarget	1	1479
14.99	0.7	NonTarget	1	1499
15.19	0.7	NonTarget	1	1519
15.39	0.7	NonTarget	1	1539
15.59	0.7	NonTarget	1	1559
15.79	0.7	NonTarget	1	1579
15.99	0.7	Target	2	1599
20.44	0.7	Target	2	2044
20.65	0.7	NonTarget	1	2065
20.85	0.7	NonTarget	1	2085
21.05	0.7	NonTarget	1	2105
21.25	0.7	NonTarget	1	2125
21.45	0.7	NonTarget	1	2145
21.65	0.7	NonTarget	1	2165
21.85	0.7	NonTarget	1	2185
22.05	0.7	NonTarget	1	2205
22.25	0.7	NonTarget	1	2225
22.45	0.7	NonTarget	1	2245
22.65	0.7	Target	2	2265
22.85	0.7	NonTarget	1	2285
23.05	0.7	NonTarget	1	2305
23.25	0.7	NonTarget	1	2325
23.45	0.7	NonTarget	1	2345
23.65	0.7	NonTarget	1	2365
23.85	0.7	Target	2	2385
24.05	0.7	NonTarget	1	2405
24.25	0.7	NonTarget	1	2425
24.45	0.7	NonTarget	1	2445
24.65	0.7	NonTarget	1	2465
24.85	0.7	Target	2	2485
25.05	0.7	NonTarget	1	2505
25.25	0.7	NonTarget	1	2525
25.45	0.7	Target	2	2545
